instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat
1,2011-01-01,1,0,1,0,6,0,2,14,18,81,11,331,654,985,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
2,2011-01-02,1,0,1,0,0,0,2,15,18,70,17,131,670,801,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
3,2011-01-03,1,0,1,0,1,1,1,8,9,44,17,120,1229,1349,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
4,2011-01-04,1,0,1,0,2,1,1,8,11,59,11,108,1454,1562,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
5,2011-01-05,1,0,1,0,3,1,1,9,11,44,13,82,1518,1600,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
6,2011-01-06,1,0,1,0,4,1,1,8,12,52,6,88,1518,1606,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
7,2011-01-07,1,0,1,0,5,1,2,8,10,50,11,148,1362,1510,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
8,2011-01-08,1,0,1,0,6,0,2,7,8,54,18,68,891,959,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
9,2011-01-09,1,0,1,0,0,0,1,6,6,43,24,54,768,822,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
10,2011-01-10,1,0,1,0,1,1,1,6,8,48,15,41,1280,1321,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
11,2011-01-11,1,0,1,0,2,1,2,7,10,69,8,43,1220,1263,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
12,2011-01-12,1,0,1,0,3,1,1,7,8,60,20,25,1137,1162,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
13,2011-01-13,1,0,1,0,4,1,1,7,8,47,20,38,1368,1406,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
14,2011-01-14,1,0,1,0,5,1,1,7,9,54,8,54,1367,1421,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
15,2011-01-15,1,0,1,0,6,0,2,10,12,50,11,222,1026,1248,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
16,2011-01-16,1,0,1,0,0,0,1,9,12,48,13,251,953,1204,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
17,2011-01-17,1,0,1,1,1,0,2,7,9,54,13,117,883,1000,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
18,2011-01-18,1,0,1,0,2,1,2,9,12,86,10,9,674,683,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
19,2011-01-19,1,0,1,0,3,1,2,12,15,74,14,78,1572,1650,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
20,2011-01-20,1,0,1,0,4,1,2,11,13,54,13,83,1844,1927,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
21,2011-01-21,1,0,1,0,5,1,1,7,8,46,24,75,1468,1543,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
22,2011-01-22,1,0,1,0,6,0,1,2,4,40,12,93,888,981,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
23,2011-01-23,1,0,1,0,0,0,1,4,5,44,17,150,836,986,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
24,2011-01-24,1,0,1,0,1,1,1,4,6,49,11,86,1330,1416,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
25,2011-01-25,1,0,1,0,2,1,2,9,12,62,9,186,1799,1985,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
26,2011-01-26,1,0,1,0,3,1,3,9,10,86,20,34,472,506,Spring,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cold
27,2011-01-27,1,0,1,0,4,1,1,8,11,69,8,15,416,431,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
28,2011-01-28,1,0,1,0,5,1,2,8,11,79,8,38,1129,1167,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
29,2011-01-29,1,0,1,0,6,0,1,8,11,65,10,123,975,1098,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
30,2011-01-30,1,0,1,0,0,0,1,9,13,72,5,140,956,1096,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
31,2011-01-31,1,0,1,0,1,1,2,7,9,60,13,42,1459,1501,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
32,2011-02-01,1,0,2,0,2,1,2,8,12,83,4,47,1313,1360,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
33,2011-02-02,1,0,2,0,3,1,2,11,13,78,18,72,1454,1526,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
34,2011-02-03,1,0,2,0,4,1,1,8,9,44,19,61,1489,1550,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
35,2011-02-04,1,0,2,0,5,1,2,9,11,59,9,88,1620,1708,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
36,2011-02-05,1,0,2,0,6,0,2,10,12,93,11,100,905,1005,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
37,2011-02-06,1,0,2,0,0,0,1,12,15,57,10,354,1269,1623,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
38,2011-02-07,1,0,2,0,1,1,1,11,15,74,3,120,1592,1712,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
39,2011-02-08,1,0,2,0,2,1,1,9,10,54,24,64,1466,1530,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
40,2011-02-09,1,0,2,0,3,1,2,6,7,49,13,53,1552,1605,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
41,2011-02-10,1,0,2,0,4,1,1,6,7,44,15,47,1491,1538,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
42,2011-02-11,1,0,2,0,5,1,1,8,11,51,7,149,1597,1746,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
43,2011-02-12,1,0,2,0,6,0,1,9,12,54,14,288,1184,1472,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
44,2011-02-13,1,0,2,0,0,0,1,13,16,46,17,397,1192,1589,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
45,2011-02-14,1,0,2,0,1,1,1,17,20,38,28,208,1705,1913,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
46,2011-02-15,1,0,2,0,2,1,1,11,13,31,20,140,1675,1815,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
47,2011-02-16,1,0,2,0,3,1,1,13,16,42,17,218,1897,2115,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
48,2011-02-17,1,0,2,0,4,1,1,18,21,50,15,259,2216,2475,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
49,2011-02-18,1,0,2,0,5,1,1,21,26,52,18,579,2348,2927,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
50,2011-02-19,1,0,2,0,6,0,1,16,20,19,34,532,1103,1635,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
51,2011-02-20,1,0,2,0,0,0,1,12,14,41,15,639,1173,1812,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
52,2011-02-21,1,0,2,1,1,0,2,12,14,60,21,195,912,1107,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
53,2011-02-22,1,0,2,0,2,1,1,7,9,58,13,74,1376,1450,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
54,2011-02-23,1,0,2,0,3,1,1,9,12,42,6,139,1778,1917,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
55,2011-02-24,1,0,2,0,4,1,2,12,14,70,17,100,1707,1807,Spring,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
56,2011-02-25,1,0,2,0,5,1,2,15,18,71,23,120,1341,1461,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
57,2011-02-26,1,0,2,0,6,0,1,12,14,54,13,424,1545,1969,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
58,2011-02-27,1,0,2,0,0,0,1,14,18,68,8,694,1708,2402,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
59,2011-02-28,1,0,2,0,1,1,2,17,20,88,19,81,1365,1446,Spring,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
60,2011-03-01,1,0,3,0,2,1,1,11,13,54,15,137,1714,1851,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
61,2011-03-02,1,0,3,0,3,1,1,14,16,45,21,231,1903,2134,Spring,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
62,2011-03-03,1,0,3,0,4,1,1,8,10,32,15,123,1562,1685,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cold
63,2011-03-04,1,0,3,0,5,1,2,11,13,61,14,214,1730,1944,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
64,2011-03-05,1,0,3,0,6,0,2,16,19,79,17,640,1437,2077,Spring,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
65,2011-03-06,1,0,3,0,0,0,2,15,18,95,23,114,491,605,Spring,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
66,2011-03-07,1,0,3,0,1,1,1,11,12,55,23,244,1628,1872,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
67,2011-03-08,1,0,3,0,2,1,1,12,15,42,8,316,1817,2133,Spring,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
68,2011-03-09,1,0,3,0,3,1,2,12,14,78,15,191,1700,1891,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
69,2011-03-10,1,0,3,0,4,1,3,16,19,0,18,46,577,623,Spring,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
70,2011-03-11,1,0,3,0,5,1,2,13,15,65,16,247,1730,1977,Spring,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
71,2011-03-12,1,0,3,0,6,0,1,13,16,59,15,724,1408,2132,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
72,2011-03-13,1,0,3,0,0,0,1,16,19,53,18,982,1435,2417,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
73,2011-03-14,1,0,3,0,1,1,1,13,17,50,9,359,1687,2046,Spring,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
74,2011-03-15,1,0,3,0,2,1,2,13,16,66,12,289,1767,2056,Spring,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
75,2011-03-16,1,0,3,0,3,1,2,15,18,78,14,321,1871,2192,Spring,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
76,2011-03-17,1,0,3,0,4,1,1,17,21,60,14,424,2320,2744,Spring,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
77,2011-03-18,1,0,3,0,5,1,1,22,26,53,15,884,2355,3239,Spring,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
78,2011-03-19,1,0,3,0,6,0,1,19,23,38,25,1424,1693,3117,Spring,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
79,2011-03-20,1,0,3,0,0,0,1,14,16,47,14,1047,1424,2471,Spring,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
80,2011-03-21,2,0,3,0,1,1,2,18,20,74,19,401,1676,2077,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
81,2011-03-22,2,0,3,0,2,1,1,18,22,62,15,460,2243,2703,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
82,2011-03-23,2,0,3,0,3,1,2,14,17,84,16,203,1918,2121,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
83,2011-03-24,2,0,3,0,4,1,2,12,14,81,16,166,1699,1865,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
84,2011-03-25,2,0,3,0,5,1,1,11,13,50,15,300,1910,2210,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
85,2011-03-26,2,0,3,0,6,0,1,11,13,39,14,981,1515,2496,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
86,2011-03-27,2,0,3,0,0,0,2,10,13,49,12,472,1221,1693,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cold
87,2011-03-28,2,0,3,0,1,1,1,11,13,30,14,222,1806,2028,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
88,2011-03-29,2,0,3,0,2,1,1,12,15,31,15,317,2108,2425,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
89,2011-03-30,2,0,3,0,3,1,2,12,15,65,12,168,1368,1536,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
90,2011-03-31,2,0,3,0,4,1,3,11,13,92,15,179,1506,1685,Summer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
91,2011-04-01,2,0,4,0,5,1,2,12,14,69,17,307,1920,2227,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
92,2011-04-02,2,0,4,0,6,0,2,13,16,65,13,898,1354,2252,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
93,2011-04-03,2,0,4,0,0,0,1,16,19,48,12,1651,1598,3249,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
94,2011-04-04,2,0,4,0,1,1,1,24,27,43,26,734,2381,3115,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
95,2011-04-05,2,0,4,0,2,1,2,17,20,64,26,167,1628,1795,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
96,2011-04-06,2,0,4,0,3,1,1,16,19,47,18,413,2395,2808,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
97,2011-04-07,2,0,4,0,4,1,1,18,22,60,11,571,2570,3141,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
98,2011-04-08,2,0,4,0,5,1,2,14,16,84,15,172,1299,1471,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
99,2011-04-09,2,0,4,0,6,0,2,14,17,88,9,879,1576,2455,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
100,2011-04-10,2,0,4,0,0,0,2,17,21,86,10,1188,1707,2895,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
101,2011-04-11,2,0,4,0,1,1,2,24,28,72,22,855,2493,3348,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
102,2011-04-12,2,0,4,0,2,1,2,21,25,74,18,257,1777,2034,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
103,2011-04-13,2,0,4,0,3,1,2,17,21,82,17,209,1953,2162,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
104,2011-04-14,2,0,4,0,4,1,1,19,23,54,7,529,2738,3267,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
105,2011-04-15,2,0,4,1,5,0,1,18,22,67,15,642,2484,3126,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
106,2011-04-16,2,0,4,0,6,0,3,18,21,89,23,121,674,795,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
107,2011-04-17,2,0,4,0,0,0,1,19,22,48,20,1558,2186,3744,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
108,2011-04-18,2,0,4,0,1,1,1,21,25,54,11,669,2760,3429,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
109,2011-04-19,2,0,4,0,2,1,2,21,24,67,11,409,2795,3204,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
110,2011-04-20,2,0,4,0,3,1,1,24,28,61,16,613,3331,3944,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
111,2011-04-21,2,0,4,0,4,1,1,19,23,41,22,745,3444,4189,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
112,2011-04-22,2,0,4,0,5,1,2,14,16,73,15,177,1506,1683,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
113,2011-04-23,2,0,4,0,6,0,2,19,23,89,15,1462,2574,4036,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
114,2011-04-24,2,0,4,0,0,0,2,24,28,81,13,1710,2481,4191,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
115,2011-04-25,2,0,4,0,1,1,1,25,29,78,12,773,3300,4073,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
116,2011-04-26,2,0,4,0,2,1,1,26,30,73,22,678,3722,4400,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
117,2011-04-27,2,0,4,0,3,1,2,25,29,84,21,547,3325,3872,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
118,2011-04-28,2,0,4,0,4,1,2,25,29,70,22,569,3489,4058,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
119,2011-04-29,2,0,4,0,5,1,1,21,25,46,16,878,3717,4595,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
120,2011-04-30,2,0,4,0,6,0,1,19,23,50,16,1965,3347,5312,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
121,2011-05-01,2,0,5,0,0,0,2,19,22,76,7,1138,2213,3351,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
122,2011-05-02,2,0,5,0,1,1,2,23,27,73,12,847,3554,4401,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
123,2011-05-03,2,0,5,0,2,1,2,25,29,70,23,603,3848,4451,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
124,2011-05-04,2,0,5,0,3,1,2,17,20,74,22,255,2378,2633,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
125,2011-05-05,2,0,5,0,4,1,1,19,22,44,20,614,3819,4433,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
126,2011-05-06,2,0,5,0,5,1,1,20,24,59,15,894,3714,4608,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
127,2011-05-07,2,0,5,0,6,0,1,21,26,54,11,1612,3102,4714,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
128,2011-05-08,2,0,5,0,0,0,1,22,26,63,5,1401,2932,4333,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
129,2011-05-09,2,0,5,0,1,1,1,22,26,59,12,664,3698,4362,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
130,2011-05-10,2,0,5,0,2,1,1,22,26,49,8,694,4109,4803,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
131,2011-05-11,2,0,5,0,3,1,1,22,26,63,8,550,3632,4182,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
132,2011-05-12,2,0,5,0,4,1,1,22,26,75,13,695,4169,4864,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
133,2011-05-13,2,0,5,0,5,1,2,21,25,86,12,692,3413,4105,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
134,2011-05-14,2,0,5,0,6,0,2,21,25,92,9,902,2507,3409,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
135,2011-05-15,2,0,5,0,0,0,2,23,27,87,10,1582,2971,4553,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
136,2011-05-16,2,0,5,0,1,1,1,24,28,79,9,773,3185,3958,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
137,2011-05-17,2,0,5,0,2,1,2,23,27,84,19,678,3445,4123,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
138,2011-05-18,2,0,5,0,3,1,2,23,26,87,13,536,3319,3855,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
139,2011-05-19,2,0,5,0,4,1,2,22,26,83,7,735,3840,4575,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
140,2011-05-20,2,0,5,0,5,1,1,22,26,72,8,909,4008,4917,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
141,2011-05-21,2,0,5,0,6,0,1,25,29,63,8,2258,3547,5805,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
142,2011-05-22,2,0,5,0,0,0,1,25,29,75,10,1576,3084,4660,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
143,2011-05-23,2,0,5,0,1,1,2,26,30,81,16,836,3438,4274,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
144,2011-05-24,2,0,5,0,2,1,2,27,30,74,14,659,3833,4492,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
145,2011-05-25,2,0,5,0,3,1,1,27,31,70,10,740,4238,4978,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
